时间及产品型号,评论内容
2024年2月3日 · 智能眼镜2【方形半框光学镜】发布会新品！,声音清晰，接听电话，学习，听歌都非常方便。物流快。五星好评
2024年2月4日 · 智能眼镜2【方形半框光学镜】发部会新品,�收到立马打开看了一下，非常不错，在工厂比较吵的环境也很清楚，音量挺大的
2024年2月4日 · 智能眼镜2【金丝光学镜】发布会新品！,总体评优，音量、电池耐用度皆好，眼镜到手即可直接使用。缺点是选用的镜片不知道品牌，还好用了5天未发现问题。
2024年2月4日 · 智能眼镜2【飞行员光学镜】发布会新品！,先说优点: 音效没有网上说的那么差（就听个响的程度）作为日常摸鱼听歌和开车接电话足够。基本不漏音电梯里同事都不知道我在听歌。 颜值在线，续航能力强，充电速度快， 客服态度超好，店家配的镜片非常合适，拿到就能用。 再说说不足: 戴久了，耳朵还是有些不舒服得缓缓，油性皮肤要不定期擦拭鼻托和镜腿（*死强迫症）。 ps:送的按摩仪，emmm至今不知道怎么用。。就当一条不足吧
2024年2月7日 · 智能眼镜2【方形半框光学镜】发部会新品！,帮家人买的，家人说体验感挺好的，上班摸鱼神器
2024年3月10日 · 智能眼镜2【方形半框光学镜】发布会新品！.,华为品质值得信赖，外观漂亮，使用方便，做工精细，适合用来听有声小说，电量可以支持两天
2024年3月11日 · 智能眼镜2【方形无框光学镜】发布会新品！.,华为，大品牌，手机电脑等数码用品一直用华为，相信品牌的力量。
2024年3月11日 · 智能眼镜2【金丝光学镜】发布会新品！.,本来有所担心的，用过后还是比较满意的，电量可以，可以使用了2天，听歌，接听电话都不错，眼镜配蓝牙耳机，一举两得的便利智能眼镜2
2024年3月12日 · 智能眼镜2【金丝光学镜】发布会新品！.,听歌效果特别好，待机时间也长，完全不会有用电焦虑，基本满足了日常的所有所需。
2024年3月12日 · 智能眼镜2【钛空光学镜】发布会新品！,太帅了，看了很多家店，这家送镜片包安装太省事了
2024年3月12日 · 智能眼镜2【钛空光学镜】发布会新品！,对比二代升级了很多，镜腿小了很多，音质也有提升，功能也增加了，价格也贵了很多，特别是镜腿的一体式设计，减小了脱胶的几率，音质不失真，厚重，很满意
2024年3月12日 · 智能眼镜2【飞行员光学镜】发布会新品！.,音量还不错，戴起来竟然出奇的挺轻，舒适感也不错。收到之后爱不释手转头就去配了个镜片，对于近视的人来讲挺友好的。已经带上了，就不发上脸的图了。
2024年3月13日 · 智能眼镜2【钛空光学镜】发布会新品！,东西和商城里的一样，感觉还可以，剩下的功能待使用后再说
2024年3月13日 · 智能眼镜2【钛空光学镜】发布会新品！,商品是正品，优惠力度挺大的，送了一副近视眼镜，目前用着没有问题
2024年3月14日 · 智能眼镜2【方形半框光学镜】发布会新品！.,第一次体验这种高科技眼镜，接听电话很方 便，听音乐音质也很好，非常不错的体验
2024年3月16日 · 智能眼镜2【方形半框光学镜】发布会新品！.,在店家配的眼镜，配镜速度快，眼镜轻便，充电快，佩戴很舒适，值得购买。
2024年3月16日 · 智能眼镜2【方形半框光学镜】发布会新品！.,很不错 蓝牙挺好用的 很喜欢
2024年3月16日 · 智能眼镜2【钛空光学镜】发布会新品！.,很好，充满电后使用也很好
2024年3月16日 · 智能眼镜2【飞行员光学镜】发布会新品！.,符合自己的预期哦，不重，好看。
2024年3月17日 · 智能眼镜2【钛空光学镜】发布会新品！.,货到了好几天了，用着挺好的，直接送的配镜。两天一充。阿絮客服。
2024年3月17日 · 智能眼镜2【飞行员光学镜】发布会新品！.,是全新正品，续航真的顶，日用一天一半音量完全没问题，摸鱼无敌
2024年3月18日 · 智能眼镜2【钛空光学镜】发布会新品！,一代眼镜也是在这家买的，都是正品，相比前代重量更轻更美观，且电量有了提升满足一天正常工作没问题，很期待更多的功能。
2024年3月18日 · 智能眼镜2【钛空光学镜】发布会新品！,收到货戴了三天，功能非常实用，收听、麦克风效果很好，待电时间也长。眼镜比普通的眼镜重，但是由于设计符合人体工程学，戴上完全不觉得重，担心滑落，自己加购了镜腿防滑垫，增加了舒适感和安全感，已经离不开了。非常满意！
2024年3月18日 · 智能眼镜2【飞行员光学镜】发布会新品！.,发货很快，收到宝贝很开心！
2024年3月19日 · 智能眼镜2【飞行员光学镜】发布会新品！.,非常不错的一次体验，第一次购买，感觉还是挺好的！支持华为！！
2024年3月1日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜不错，音质很好，五星好评
2024年3月1日 · 智能眼镜2【飞行员光学镜】发布会新品！.,早就听说华为的智能眼镜很不错，去实体店试戴后直接被种**。飞行员镜框颜值很高，体验也非常好！
2024年3月20日 · 智能眼镜2【方形半框光学镜】发布会新品！.,华为产品遥遥领先，特别喜欢微信播报功能
2024年3月20日 · 智能眼镜2【方形半框光学镜】发布会新品！.,非常感谢客服，原以为周五出去用不上了，在客服的催促下，周一拍下，周二发货，周三就到了，刚到手连接手机感受了一下，非常的不错。客服态度也很好，非常满意
2024年3月22日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,不错，超出预期，很清晰的声音
2024年3月23日 · 智能眼镜2【钛空光学镜】发布会新品！,还得是华为的产品，手机耳机眼镜都是用的华为的，真是不错。华为眼镜已经用完两个了，这是第三个，质量真的好，续航能力强。
2024年3月25日 · 智能眼镜2【钛空光学镜】发布会新品！,送给老公 喜欢的不行之前去店里试带过这款了   看着很高级 材质也很轻带着不累
2024年3月26日 · 智能眼镜2【金丝光学镜】发布会新品！.,客服好，物流快，眼镜超实用，音质棒棒哒，五星好评！
2024年3月26日 · 智能眼镜2【钛空光学镜】发布会新品！,品质可以，音质好，老板服务也到位。 值得推荐，正常听小说可以听一天。 太空银的比较轻点，戴着会舒服点
2024年3月28日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜是正品，收到眼镜去华为专卖店换了加长腿链接，冲一次电正常用两天没有问题。
2024年3月28日 · 智能眼镜2【飞行员光学镜】发布会新品！.,体验不错，续航也比较好 适合上班摸鱼
2024年3月29日 · 智能眼镜2【飞行员光学镜】发布会新品！.,"设计挺好看的，华为标志和呼吸灯显高端，续航强 重量把控得挺好，戴上没有什么不舒服的感觉，从此不用耳机了，上班摸鱼神器,很方便，今天刚收到眼镜�就迫不及待去配眼镜片了，总的来说主要有以下五个优点： 1、佩戴舒适，比较轻， 2、音质不错 3、颈椎保护提醒功能很实用; 4、希望随智慧语音升级，使用更方便 5、跟各种终端设备连接顺畅。"
2024年3月2日 · 智能眼镜2【方形无框光学镜】发布会新品！,已经有上一代智能眼镜加配套前框，现更换为第二代，已经全天佩戴带了一周了，样式满意，音质更清晰，续航给力，让工作方便了很多。
2024年3月2日 · 智能眼镜2【钛空光学镜】发布会新品！.,续航两天； 音效还不错，带个兜帽效果会更好； 音量超过一半可以听到声音； 钛空款不太好加工镜片，容易留指纹，过保维修费贵，但是挺特别
2024年3月2日 · 智能眼镜2【飞行员光学镜】发布会新品！.,对比二代升级了很多，镜腿小了很多，音质也有提升，功能也增加了，价格也贵了很多，特别是镜腿的一体式设计，减小了脱胶的几率，音质不失真，厚重，很满意
2024年3月3日 · 智能眼镜2【方形无框光学镜】发布会新品！.,产品没问题，我一般都是五星好评，不过在这家店买眼镜要注意他们是不给安装好的，还要自己去取眼镜店配，承诺的光学配镜后面就让你自己安装，对动手能力差的朋友非常不友好。 客服服务态度也很一般。看了前面的评论抱着侥幸心理以为会安装但是并没有，下次不会在这里买东西了���
2024年3月3日 · 智能眼镜2【方形无框光学镜】发布会新品！.,试了几天，感觉不错！可以听歌和听电话！希望后面保持品质。
2024年3月3日 · 智能眼镜2【方形无框光学镜】发布会新品！.,这款华为眼镜设计巧妙，让我七年果粉果断下单，特意给售后说了度数，加了50配了镜片，没曾想镜片太厚螺丝根本安不上，几度询问客服了解了盒子里有替换螺丝，可是我找遍了整个盒子也没有，之后连颗螺丝也不愿意给补发，一直在强调不是他们的问题是华为自己的问题，要不然就把问题的矛头指向我，看着眼前已经拆开的眼镜真是后悔莫及，虽然也就一千块钱吧，但是买个废铁还是很亏的
2024年3月4日 · 智能眼镜2【方形无框光学镜】发布会新品！.,颜值高，质量好，链接速度很快，开车导航收音效果好。
2024年3月4日 · 智能眼镜2【钛空光学镜】发布会新品！.,产品没问题，声音很清楚。客服还有很大提升空间，每次沟通信息如同挤牙膏一样的，太累人了
2024年3月6日 · 智能眼镜2【方形无框光学镜】发布会新品！.,眼镜质量很好，客服也认真负责，协调帮助解决各种问题，但配送的近视镜片因快递公司原因，至今未收到，美中不足吧
2024年3月6日 · 智能眼镜2【方形无框光学镜】发布会新品！.,第一次购买这种智能眼镜，首选华为，用了几天才来评论，镜片自己装上戴了几天感觉挺好用的，物有所值。
2024年3月6日 · 智能眼镜2【钛空光学镜】发布会新品！.,试用了一段时间，不愧是遥遥领先。首先是外观，虽然看上去是半框的，实际上是无框的悬浮设计，钛的金属感和流线型，高级又时尚，佩戴起来斯斯文文，但要注意，无框的通病——镜片容易断；实用性和便利性，远远超过蓝牙耳机，特别是开车的时候配合华为手机的语音助手接打电话；待机时间长，晚上睡觉充一次电即可，声音清晰，触摸灵敏(要撕掉保护膜哈)，开很大声会有的漏音，都在正常范围内；让卖家配的是可变色的350度镜片，佩戴也很轻盈，还直接省下一个太阳镜的钱，即使变色看车内hud抬显也不受影响。
2024年3月8日 · 智能眼镜2【方形半框光学镜】发布会新品！.,对于近视人群来说眼镜很方便，跟普通眼镜重量差不多，外观也看不出来是智能眼镜。 耳机效果还不错，在办公室开1～2格声音，不会漏音，而且还可以播报手机里的消息，不方便看手机或者没注意手机消息提醒的时候，也不怕错过消息。
2024年3月8日 · 智能眼镜2【钛空光学镜】发布会新品！.,收到两天，充电线接触不良，客服叫小珂的一个东西说没办法处理。**商家，**客服！！！
2024年3月9日 · 智能眼镜2【金丝光学镜】发布会新品！.,商品不错，佩戴舒服，重量很轻
2024年4月11日 · 智能眼镜2【方形无框光学镜】.发布会新品！.,收到了眼镜，感觉很不错，比较轻，戴上去很舒服，第一次使用这种穿戴设备，感觉很妙。
2024年4月11日 · 智能眼镜2【飞行员光学镜】发布会新品！.,以为戴着很沉，还好，体验不错，眼镜人士福利
2024年4月14日 · 智能眼镜2【金丝光学镜】发布会新品！.,收到货就马上试了，舒适度不错，没有不适应，近视度数配的镜片也很合适，满意。客服君君回复速度，效率高。
2024年4月15日 · 智能眼镜2【方形无框光学镜】.发布会新品！.,镜框看着很大，但是很轻巧，一点都不会笨拙。音质很好，没有杂音。愉快的购物
2024年4月15日 · 智能眼镜2【金丝光学镜】发布会新品！.,我挺喜欢华为的东西，用起来很方便，因为客服的原因导致我自己配镜片多花了五百块。都发数据了还问，真的很烦
2024年4月15日 · 智能眼镜2【钛空光学镜】发布会新品！,音傻效果不错，比一代样式大气，使用更方便，客服阿絮态度好。
2024年4月16日 · 智能眼镜2【钛空光学镜】发布会新品！,上班摸鱼神器，开30%的声音同事是听不见的，除非贴着你，充一次电基本够我用两天
2024年4月16日 · 智能眼镜2【钛空光学镜】发布会新品！,华为眼镜遥遥领先，第一次用智能眼镜、待机俩天，通话非常清晰。值得购买
2024年4月16日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜特别好，方便，在发挥眼镜本身作用的情况下，又兼顾了潮流，时尚，镜架也特别轻，渐变色又非常有质感，包装也非常的简约大气，值得推荐！
2024年4月16日 · 智能眼镜2【钛空光学镜】发布会新品！,镜架挺漂亮的，就是不太适合我。
2024年4月17日 · 智能眼镜2【方形半框光学镜】发布会新品！,比上一代眼镜重量更轻，音质更好！
2024年4月17日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜还可以，配的蔡司镜片度数刚刚好，就是镜片似乎安的不是很好有点松动，重量符合预期，不是挺重，需要长期佩戴的建议买个防滑的镜腿套
2024年4月18日 · 智能眼镜2【钛空光学镜】发布会新品！,分量不重，用起来也不压鼻梁，声音够用了
2024年4月18日 · 智能眼镜2【飞行员光学镜】发布会新品！.,好用好用，链接很灵敏，声音清晰，太适合摸鱼了！！！
2024年4月19日 · 智能眼镜2【方形半框光学镜】发布会新品！,这眼镜还是很不错的。比较轻，镜腿看起来确实挺粗的，不过戴在头上并不感到笨重。声音方面，肯定算不上很好，但是还行。我发现用手捂住耳朵和镜腿那块，声音会大很多，是不是可以出一个这种配件啊�
2024年4月19日 · 智能眼镜2【飞行员光学镜】发布会新品！.,产品相当可以了 相比之前更有质感了 希望下一款会有更大的改变
2024年4月1日 · 智能眼镜2【钛空光学镜】发布会新品！,卖家服务非常的好，眼镜跟实体店一样
2024年4月1日 · 智能眼镜2【钛空光学镜】发布会新品！,抱着试试看的态度体验新产品，到手后确实惊艳到了我，大品牌就是不一样！感谢店铺及客服的优质服务，有朋友购买一定推荐！
2024年4月1日 · 智能眼镜2【飞行员光学镜】发布会新品！.,非常专业的店家，价格比官网便宜还送了近视镜片，点赞
2024年4月20日 · 智能眼镜2【方形半框光学镜】发布会新品！,以为会很重，但是带在脸上不夹脸，不压鼻。蓝牙连接很智能，声音清晰，好评，遥遥领先
2024年4月20日 · 智能眼镜2【钛空光学镜】发布会新品！,帮朋友回购一副，质量杠杠滴，戴着很舒服！
2024年4月20日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,摸鱼神器，再也不怕被领导抓了�
2024年4月22日 · 智能眼镜2【方形半框光学镜】发布会新品！,戴起来很轻，用起来也不错，不过建议各位配镜片度数低25°，第一次配这么准的，头晕到不行估计得再陪一次了
2024年4月23日 · 智能眼镜2【钛空光学镜】发布会新品！,眼镜重量可以承受，大多数情况下可以不带耳机了
2024年4月24日 · 智能眼镜2【钛空光学镜】发布会新品！,比上一代轻了些，主要是镜腿上的变化，体积小了不少，戴上很舒服，静音做的很好。
2024年4月25日 · 智能眼镜2【方形半框光学镜】发布会新品！,重量调教不错，并没有负重感，音质良好，满意
2024年4月27日 · 智能眼镜2【方形半框光学镜】发布会新品！,商品外观很好，价格也优惠，不过音质比不上耳机但也能接受。
2024年4月27日 · 智能眼镜2【飞行员光学镜】发布会新品！.,我的鸿蒙小生态系统，就差这个小眼镜了，整体感受还是很不错的，期待未来的几代赶紧把导航之类的投影技术装上去。
2024年4月29日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜党的福音，音质比预期高很多，佩戴舒适，值得购买
2024年4月2日 · 智能眼镜2【钛空光学镜】发布会新品！,一直想拥有，之前患得患失，拥有后真舒服，解锁了耳朵，华为遥遥领先！点赞
2024年4月2日 · 智能眼镜2【飞行员光学镜】发布会新品！.,好看，很时尚，音质很好
2024年4月30日 · 智能眼镜2【方形无框光学镜】.发布会新品！.,续航能力强，有环绕声的感觉，很棒的一款产品，主要是方便
2024年4月30日 · 智能眼镜2【飞行员光学镜】+飞行员2亮黑色前框,物流很快，宝贝很好，到的也很安全，很好用，特别是开车，很方便。华为的质量也一向过关，送的镜片度数散光都很准，还有赠礼，跟舒服的一次购物。
2024年4月30日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,ios手机 适配度高 带上连接 基本无延迟
2024年4月30日 · 智能眼镜2【飞行员光学镜】发布会新品！.,不愧是华为，眼镜音效是环绕的感觉，跟耳机不同，更舒适，音效超棒。架子没有想象那么沉，而且更上身比想象中好看。物流也快。不知道选哪个款式可以用有3D结构光的在华为商城试戴。
2024年4月3日 · 智能眼镜2【钛空光学镜】发布会新品！,这个确实帅啊，售后也有保障，华为直接全国联保，不错不错
2024年4月3日 · 智能眼镜2【钛空光学镜】发布会新品！,这是我二次回购了，真心不错，推荐
2024年4月4日 · 智能眼镜2【方形半框光学镜】发布会新品！,使用很满意，没有常规眼镜夹头那么痛，款式也很时尚
2024年4月4日 · 智能眼镜2【钛空光学镜】发布会新品！,佩戴感觉还可以 音质 音量 灵敏度 都可以 就是原厂镜片配戴时间长有点眩晕
2024年4月4日 · 智能眼镜2【飞行员光学镜】发布会新品！.,东西收到，物流蛮快的，两天时间就拿到手，东西很好用，音质很好，以后再也不担心眼镜找不到了！
2024年4月6日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,简约大气时尚，高科技发展的今天终于迎来各种传导模式耳机。从未戴过眼镜的我试戴感觉轻盈丝毫没有不舒适感，只是一点电量都没有只能先充足电才能体验各种功能。
2024年4月7日 · 智能眼镜2【方形半框光学镜】发布会新品！,款型很好看，配的镜片度数也符合，很愉快的一次购物！
2024年4月7日 · 智能眼镜2【飞行员光学镜】发布会新品！.,顺丰不是顺丰，还没收到货店家的服务质量杠杠的，真羡慕店里的客服，好轻松！！
2024年4月9日 · 智能眼镜2【飞行员光学镜】发布会新品！.,发货速度很快，东西包装的很好，价格优惠，我很满意�，还会回购
2024年5月11日 · 智能眼镜2【方形半框光学镜】发布会新品！,充一次电高频率使用也能用两天，而且不沉。耳机听起来很响亮，而且能连接两个设备，好评
2024年5月11日 · 智能眼镜2【钛空光学镜】发布会新品！.,商品收到了，很喜欢，客服的服务态度也特别积极，有问题都及时解答正品店铺，放心购买，客服服务态度也OK，整个购物过程十分顺利，下次还会再来的，赞！
2024年5月11日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,刚刚开始怕太重，戴上后不会重，颜值也ok啊…还是非常满意的。
2024年5月12日 · 智能眼镜2【方形半框光学镜】发布会新品,眼镜的颜值非常高，售后君君也很有耐心
2024年5月12日 · 智能眼镜2【方形半框光学镜】发布会新品！,已经戴上了，店家还给配了相应度数的变色镜片，发货速度也很快～
2024年5月12日 · 智能眼镜2【方形无框光学镜】.发布会新品！,很好，是正品，质量不错，非常喜欢
2024年5月13日 · 智能眼镜2【方形半框光学镜】发布会新品,发货很快，送的镜片质量也很好，本以为是送一副镜片，没想到是安好一副，再多送一副，很满意店家的态度
2024年5月13日 · 智能眼镜2【方形无框光学镜】.发布会新品！.,华为3件套凑齐了。。。美总不足就是，配镜配的不好，重新线下再配了一次
2024年5月13日 · 智能眼镜2【飞行员光学镜】+飞行员2亮黑色前框,眼镜收到了，美观好用，科技感满满！
2024年5月13日 · 智能眼镜2【飞行员光学镜】发布会新品！.,用过几天来评价 充满电约100分钟 满电使用可以达到11小时（我是一直听小说） 蓝牙通信距离大约25米 镜腿不会显得太笨拙，一般看不出是蓝牙耳机 音质也不错，不会影响周围环境音。 摘下眼镜自动暂停，戴上眼镜自动继续播放。
2024年5月14日 · 智能眼镜2【方形无框光学镜】.发布会新品！,眼镜收到很惊喜，质量很好，老公是华为的忠实粉丝，以后都要在这家店买！
2024年5月14日 · 智能眼镜2【飞行员光学镜】发布会新品！.,很好，很满意，很喜欢，值得购买。很好，很满意，很喜欢，值得购买。很好，很满意，很喜欢，值得购买。很好，很满意，很喜欢，值得购买。
2024年5月15日 · 智能眼镜2【方形半框光学镜】发布会新品,音质非常不错，很轻便，戴起来不会觉得很累，还是值得购买的，给力华为。
2024年5月17日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜收到了，打开包装满满的惊喜，赶紧试用！镜框颜色很亮，漂亮！不管是包装还是整体都小巧玲珑，个人很喜欢～(￣▽￣～)~，眼睛很文艺，带起来有气质，做工精细，防蓝光效果不错，眼镜很完美！还会光顾这家店的!
2024年5月17日 · 智能眼镜2【金丝光学镜】发布会新品！.,发货速度快，送的近视镜片也不错，配戴感比较舒适。
2024年5月18日 · 智能眼镜2【飞行员光学镜】+飞行员2亮黑色前框,早该买，很实用，待机时间要是再长点就更完美了，期待出新，客服很耐心，陪我聊了好几个小时，貌似叫君君的客服，点赞
2024年5月19日 · 智能眼镜2【方形无框光学镜】.发布会新品！,产品总的来说还不错，科技感挺强的。后续新品还会购买
2024年5月19日 · 智能眼镜2【金丝光学镜】发布会新品！.,很漂亮，音质很好，客服也很给力，值得购买
2024年5月19日 · 智能眼镜2【钛空光学镜】发布会新品！.,音质和外观效果都很好，推荐朋友来买，我的数码产品基本都是华为的
2024年5月1日 · 智能眼镜2【方形半框光学镜】发布会新品！,不错，是真货，相当好用，音质也好，售后服务君君的服务也非常棒，又买了一个镜片，一个看电脑用，一个开车用，一付镜架两付镜框，好用！
2024年5月20日 · 智能眼镜2【方形无框光学镜】.发布会新品！,产品不用说，很不错。店家配的镜片准确度高，价格相对便宜，发货快。
2024年5月20日 · 智能眼镜2【金丝光学镜】发布会新品！.,666666666666666666666666666666666666666666666可以 很棒
2024年5月20日 · 智能眼镜2【飞行员光学镜】发布会新品！.,第二次买了，上班摸鱼神器
2024年5月21日 · 智能眼镜2【方形半框光学镜】发布会新品,到货之后就去配了眼镜片，自重肯定是比普通眼镜要重的，带了耳朵会有点痛，我买了一个小圈圈架住可以缓解一下耳朵重量。
2024年5月22日 · 智能眼镜2【方形无框光学镜】.发布会新品！,送给我亲爱的 很喜欢戴着感觉很时尚 功能也很科技  最主要再也不用担心开车的时候接电话不方便了
2024年5月24日 · 智能眼镜2【方形半框光学镜】发布会新品！,全新正品，店家服务也不错。开始买错了，直接退货，I重新下单买的新款。沟通很愉快。
2024年5月24日 · 智能眼镜2【方形半框光学镜】发布会新品！,很棒的华为智能眼镜，第三代也在这里买的，眼镜和售后服务都很棒！
2024年5月24日 · 智能眼镜2【飞行员光学镜】发布会新品！.,满足逾期的产品 很方便好用 开车办公终于不会MISS消息了
2024年5月25日 · 智能眼镜2【方形半框光学镜】发布会新品！,东西收到立马用上了，很舒服，和描述的一样�，度数也很准，声音虽然不大，但是效果不错，旁边站个人也听不见
2024年5月25日 · 智能眼镜2【方形无框光学镜】.发布会新品！,已经很久没有在淘宝买东西了，一直用的京东，这次是打算送人的眼镜，首先物流很差劲，说好的发顺丰，三天就到了，但我8天才收到，其次是客服，解决不了实际问题，然后是快递包装，我无法想象这个包装是1500的东西应该有的包装。
2024年5月25日 · 智能眼镜2【方形无框光学镜】.发布会新品！,跟实体店没有区别，还便宜，喜欢！�大品牌！值得信赖！效果超级好！贵有贵的道理！很棒的商品！特别特别特别好，没有任何破损的地方，外观也好看，好评！
2024年5月25日 · 智能眼镜2【钛空光学镜】发布会新品！.,看着很有质感，带起来也很轻，比普通的重一点，带了两天就完全适应了。平时接打电话太方便了，再也不用戴耳机了，电量能用两天，完全能满足日常使用。店家态度很好，包装有磨损还给了个礼物的补偿。
2024年5月25日 · 智能眼镜2【飞行员光学镜】发布会新品！.,正品嘎嘎新，有一代的可以用这一代的镜腿换到前一代上，省去配镜烦恼
2024年5月26日 · 智能眼镜2【钛空光学镜】发布会新品！,这款华为眼镜2科技感十足，搭配的钛空光学镜更是耀眼。蓝牙耳机音效非常好，待机时间长，不会错过任何电话和社交信息，日常佩戴眼镜的同时，还可以解放双耳。我本人近视，配的变色近视镜度数准确，大品牌的镜片，舒适感极好。客服热情，服务周到，快递迅捷。
2024年5月27日 · 智能眼镜2【钛空光学镜】发布会新品！,一直很期待，终于戴上了，时尚大方，线条优美，戴着很舒服，音质好。客服耐心细致，物流迅速，很棒！！！
2024年5月27日 · 智能眼镜2【钛空光学镜】发布会新品！.,好东西没啥可说的，建议大家都体验一下科技带来的好处，爽歪歪。
2024年5月28日 · 智能眼镜2【钛空光学镜】发布会新品！,华为眼镜看了很久了，感觉618挺优惠就买了，相信华为 ，卖家客服非常好.
2024年5月28日 · 智能眼镜2【钛空光学镜】发布会新品！.,比一代好太多了、轻便、充电快、音质也不错�把跑步的耳机钱也省下来了、还方便，值得购买
2024年5月29日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜收到，凑齐了华为手机，手表，耳机，眼镜。。很魔幻的感觉。很方便，骑车接电话，户外活动听歌，这些场景都满足了。跟耳机搭配也很可，简直六，华为牛叉。
2024年5月2日 · 智能眼镜2【方形无框光学镜】.发布会新品！.,第二天就收到了匆忙去眼镜店配了个镜片，佩戴舒适
2024年5月2日 · 智能眼镜2【金丝光学镜】发布会新品！.,优点：音质清晰，使用方便，眼睛整体不沉重，佩戴没有不适感 缺点：眼镜框没有螺丝不能调节，基本上眼镜框变形就需要换镜框，索性用的是镜腿 安静环境下比较不错，低音状态下也很清晰，没有漏音，但是环境吵杂需要调大音量时会有不小的漏音，不利于摸鱼
2024年5月2日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,正品无疑，还赠送了镜片清洗液。发货保护的也很好。
2024年5月2日 · 智能眼镜2【飞行员光学镜】+飞行员2墨镜前框,正品！比从官网买更人性化一些，直接带着墨镜来的。还送了眼镜液
2024年5月30日 · 智能眼镜2【方形半框光学镜】发布会新品！,充电方便，配镜度数合适，眼镜舒服，音质特别好，不漏音不现实，但是非常棒，好用，对于我长时间需要耳机的人来说对耳朵太好了。
2024年5月30日 · 智能眼镜2【方形半框光学镜】发布会新品！,眼镜很好是正品，用着非常方便，镜片配制过程出了几次小插曲，好在最后解决掉了，谢谢客服阿絮
2024年5月30日 · 智能眼镜2【方形无框光学镜】.发布会新品！,佩戴舒适度一般，经常低头工作的千万不要购买，用苹果手机的不建议购买，很多功能只支持华为手机。
2024年5月30日 · 智能眼镜2【飞行员光学镜】发布会新品！.,东西用着还可以，买的防蓝光，镜片有防伪标志，但是看起来镜片有点偏黄，戴上看白色物品也有点偏黄，可能还得自己再去配镜片了
2024年5月31日 · 智能眼镜2【金丝光学镜】发布会新品！.,上班摸鱼神器，太阳底下还会变色，帅！
2024年5月31日 · 智能眼镜2【飞行员光学镜】发布会新品！.,很帅，很实用，解决了平时不方便戴耳机+戴耳机通话的痛点。苹果手机也能用，下半年冲mate70，期待解锁更多功能。
2024年5月3日 · 智能眼镜2【方形半框光学镜】发布会新品！,东西非常好，店家也很热情，服务态度很好
2024年5月3日 · 智能眼镜2【飞行员光学镜】发布会新品！.,眼镜不错是，声音比较大，度数准确
2024年5月3日 · 智能眼镜2【飞行员光学镜】发布会新品！.,5月1号收到货 眼镜的生产日期是23年10月、外包装坑坑洼洼 对比之前咨询客服、拆封试戴可退（不影响二次销售） 我就怕是别人用过、从新封装的、就全程录像拆封 果不其然、拆封镜片全是灰尘、镜腿有污垢、如图 客服的回答就是、你可以退换货 真是忽悠一个是一个 商家给我打电话说是什么售后换机、咱不明白 我买的就是全新未拆封的、你说那么多 各位亲们、在收到货、一定要全程录像拆封 保护好自己的权益啊。
2024年5月4日 · 智能眼镜2【金丝光学镜】发布会新品！.,品质一级棒，包装也不错，物流很快，而且价格合理，很实惠，很喜欢
2024年5月7日 · 智能眼镜2【钛空光学镜】发布会新品！.,眼镜外观不错，镜腿再苗条一些会更好，耳机音质也很好，佩戴感觉还行，可能还需要适应一段时间吧。好评……
2024年5月8日 · 智能眼镜2【金丝光学镜】发布会新品！.,总体来说带着还挺舒服的，你还免费配了近视镜片自己换的很好换，华为的质量还可以保证的这个智能眼镜可以连接两两台手机，一台苹果一台华为无缝切换很方便，音质的话中规中矩，特别带着骑电动自行车的时候基本上不能弹音质，接个电话还挺方便的，以后还会换行业更高端的产品，支持国产从我做起！
2024年5月9日 · 智能眼镜2【方形半框光学镜】发布会新品,新玩具，对于店方的处理及发货速度赞不绝口。首先要求换近视镜，说道要3~5天，但事实上一天就完成，而且即时发货，很快就已经收到。  到手之后音质可以，唯一的问题是自己用苹果的，没能用到华为检测低头的功能，希望可以在将来把有关功能下放到其他手机系统。
2024年5月9日 · 智能眼镜2【方形无框光学镜】.发布会新品！.,不错，做工和音质不错，但是我选择无框的，镜片容易碎。当时就赶紧让客服阿絮补发了一个。感谢！华为的东西推荐了
2024年6月10日 · 智能眼镜2【方形半框光学镜】发布会新品！,东西收到了，用了几天后来评价一下。音质方面，与入耳式的还是有点差距的，但是由于我总是忘记带蓝牙耳机，使用还是挺方便的。舒适度方面，比预想的要轻，一天带下来也没什么压迫感觉。总体而言还是比较推荐的，简直是摸鱼利器
2024年6月10日 · 智能眼镜2【方形半框光学镜】发布会新品！,用了一天，音响效果很好，很智能
2024年6月10日 · 智能眼镜2【方形半框光学镜】发布会新品！,配了近视镜 目前体验还不错�
2024年6月10日 · 智能眼镜2【金丝光学镜】发布会新品！.,音效很好，用起来很方便
