日期及型号,评论
2025年2月26日 · 【AR lite眼镜+主机套装】空间电脑随身携带,非常给力，不知道我这样拆和这样装到一个盒子里对不对，干才体验了一下，要是全占满眼睛就好了，还是有点距离，哈哈，开玩笑的，设备确实很棒，期待5，6月的新产品，肯定很给力�
2025年2月27日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品音效不错！但产品设计上部位散热出气吹前额不适欠妥，如果朝前吹就好了；产品对有近视带散光等调节还是不太友善；产品连接外围的辅助设备及操作还有改进空间。加油迭代吧！希望越来越好！
2025年2月27日 · 【AR lite眼镜+主机套装】空间电脑随身携带,体验感不错，机子上手很快，观影感也很不错！！！
2025年2月27日 · 【AR lite眼镜+主机套装】空间电脑随身携带,很完美的购物体验，国货当自强！
2025年2月27日 · 【AR lite眼镜+主机套装】空间电脑随身携带,运动模式太喜欢了，不耽误走道
2025年2月28日 · 【AR lite眼镜+主机套装】空间电脑随身携带,看了创始人在短视频介绍的“发布会款”，但新款要6月份才发布，先买station2 支持下！ 体验就哇哦 感叹新事物 新体验 新交互， 支持新科技！！期待6月份的新款，更生活化一些。 目前里面的应用还是很多的，平时在家躺平用也更惬意，真的是科技改变生活！
2025年2月28日 · 【AR lite眼镜+主机套装】空间电脑随身携带,质量杠杠的，设计美观大方，商家服务赞，体验很棒，物流服务好，性价比高，爱了爱了！科技改变生活啊。客服服务很周到
2025年2月3日 · 【AR lite眼镜+主机套装】空间电脑随身携带,比上一代有所升级，整体很好，九月客服的回复不错，
2025年2月5日 · 【AR lite眼镜+主机套装】空间电脑随身携带,春节期间发货很快，自用送人都合适，体验很棒！
2025年3月10日 · 【AR lite眼镜+主机套装】空间电脑随身携带,用了一个礼拜，电影画面清晰，声音OK，分体三屏也好用，加个键盘鼠标就是随身平板了。
2025年3月12日 · 【AR lite眼镜+主机套装】空间电脑随身携带,本人近视，体验差，属于宁愿放着浪费也不想用的档次。 我问客服验光该按0.8验还是1.0验，客服不懂。 一开始没配近视镜让我媳妇试试，她老说戴着视觉效果不太好。 我寻思着是她懒不会调。 结果验光配镜的结果还是稀烂。 近视这玩意，还真是无解，哪怕是普通配眼镜都容易出问题。 自己调整度数更是白搭，除非软件调节，物理调节就那么个小拨片调不明白的。 5年内不会考虑这类产品了。 过了七天了，放着吧认赔。
2025年3月13日 · 【AR lite眼镜+主机套装】空间电脑随身携带,超级好用！打开新世界的大门，建议配合手柄游戏体验更好！
2025年3月14日 · 【AR lite眼镜+主机套装】空间电脑随身携带,最近入手的ROKID MAX AI眼镜，真的给我带来超多惊喜！以前看电影、玩游戏，总觉得屏幕不够大，体验差。这副眼镜完美解决了这个问题，戴上它就像拥有了私人巨幕影院，300寸的超大屏，视野超广。600尼特高亮度加上高清分辨率，色彩鲜艳，暗处细节和亮部层次都十分清晰。  它还特别贴心，自带0 - 600度近视调节，像我这种近视患者不用额外戴眼镜，调节一下就能看得清清楚楚。而且很轻巧，只有75g，镜腿和鼻托设计很合理，戴久了也没有不适感。  操作简单，即插即用，不管是连接手机、电脑还是游戏机，都很方便，办公、娱乐全能满足。有了它，随时随地都能享受沉浸式的视听盛宴，真的太值了，强烈推荐给大家！
2025年3月14日 · 【正在补货..AR lite眼镜+主机套装】空间电脑随身携带,买了全套。头一天到手遇上系统升级，应用无法下载，好在通过服务号反映问题后，几天后得以解决。看剧体验很好，只要有网络，坐躺随意，音量不影响周边。办公软件体验也可以，连上蓝牙键鼠文本工作没什么问题。
2025年3月16日 · 【AR lite眼镜+主机套装】空间电脑随身携带,这款眼镜挺不错的 功能很强大 很满意的一次购物体验 值得推荐
2025年3月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,东西很给力，看电影非常过瘾！ 点赞客服十月，态度好，专业。
2025年3月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,可直连手机播放，对近视眼友好，可以躺着追剧，期待Ai眼镜尽快拿到手。
2025年3月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,高级，酷炫！非常不错，看电影爽呆了。 客服十月态度好，点赞！
2025年3月19日 · 【AR lite眼镜+主机套装】空间电脑随身携带,买给上初中的孩子用的，孩子很感兴趣，太棒了，体验感很好。
2025年3月1日 · 【AR lite眼镜+主机套装】空间电脑随身携带,除了有跟线连着，不是很完美，其他都非常满意，期待出新款，出了后再搞个以旧换新，完美
2025年3月1日 · 【AR lite眼镜+主机套装】空间电脑随身携带,非常棒的体验！支持国货！！
2025年3月26日 · 【预售中】【AR lite眼镜+主机套装】空间电脑随身携带,非常方便 插入手机就能用 几千块钱买个3d投影仪 苹果手机 华为手机 安卓手机都能用 还有电脑模式 随时办公
2025年3月3日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品很惊艳，值得购买，3D的效果很棒，然后在家就能享受影院级的大屏观赏，值得推荐。
2025年3月3日 · 【AR lite眼镜+主机套装】空间电脑随身携带,产品收到了，外观时尚，戴上很轻便，而且很方便携带，近视调节也很好，画面清晰，观影看直播玩游戏，沉浸感非常好，音质好。
2025年3月4日 · 【AR lite眼镜+主机套装】空间电脑随身携带,很好，幸福指数提升几倍。提个建议，眼镜上应该设个暂停键。
2025年3月7日 · 【AR lite眼镜+主机套装】空间电脑随身携带,最近Rokid眼镜太火了，打开新世界大门，很满意！火速预订了GLASS款，期待！
2025年4月10日 · 【预售中】【AR lite眼镜+主机套装】空间电脑随身携带,很好用，新时代高科技，送给我爸用了，很喜欢。
2025年4月17日 · 【预售中】【AR lite眼镜+主机套装】空间电脑随身携带,收到的第一件居然眼镜不亮，卖家还不让换货，只能退了重拍，无语的退换货处理方式。设备移动端风扇声音非常明显，且高频居多，影响使用感受。店家服务不够高效，客服哄孩子的回复态度也让人无法接受！买家需要的是实际的解决问题！开发票多次催促无果，差评！
2025年4月18日 · 【预售中】【AR lite眼镜+主机套装】空间电脑随身携带,很有科技感，值得尝试！希望后续系统能支持更多app，最好能用鸿蒙系统
2025年4月21日 · 【现货】【AR lite眼镜+主机套装】空间电脑随身携带,收到很惊艳很惊艳，清晰大气就像电影院一样，而且连接手机很方便，星空的背景很有诗意。操作熟练后使用很方便，自带600度以内的近视，这一点也很人性化。为国货点赞。10月的服务挺好，有耐心也很专业。 总之这是一台值得入手的设备，感受高科技带来的美好生活。
2025年4月21日 · 【现货】【AR lite眼镜+主机套装】空间电脑随身携带,用来看3D电影很清晰，音效好，三连屏实现一边看书一边听音乐一边记笔记，宅家好物。 打游戏需要充值时间，云电脑也需要购买，想要有更好的体验需要付费。可以满足本人轻办公的需求，出门带rokid 很方便。夜晚使用用久了风扇会很响。
2025年5月10日 · 【AR lite眼镜+主机套装】空间电脑随身携带,时尚大气，佩带轻巧，显示效果清晰，超预期。大屏非常震撼，看电影沉浸感十足。办公文字显示清楚，很适手。
2025年5月12日 · 【AR lite眼镜+主机套装】空间电脑随身携带,"客服完全不知所謂,經常問非所答,完全沒有協助過購買者,我問的問題永遠只有不停回覆錯的答案,加上我在香港使用很多問題都不能夠協助本人解答,如果你是想購買這個產品,我衷心建議買Xreal one,這個無論使用及操作均十分不友善"
2025年5月17日 · 【AR lite眼镜+主机套装】空间电脑随身携带,不错。晚上陪小孩睡觉神器
2025年5月18日 · 【AR lite眼镜+主机套装】空间电脑随身携带,Rokid AR Lite作为国产AR眼镜的革新代表，通过多维度的技术创新和场景化设计，正在重新定义移动端的交互体验。从用户反馈来看，其核心优势体现在： 采用分体式架构，将75g超轻显示终端与性能主机分离，既保障了骁龙芯片+8GB内存的运算能力，又实现了佩戴无感化。birdbath光学方案配合1200P单眼分辨率，在50度视场角内呈现600尼特高亮画面，120Hz刷新率确保动态画面流畅，屈光度调节功能更覆盖了600度以内近视群体。 针对出行痛点研发的逐帧追踪防抖技术，通过运动模式实现画面动态稳定，有效缓解交通工具上的眩晕感。5000mAh电池配合18W双Type-C快充，结合主动散热系统，保障了户外场景下的长效续航。 虚拟大屏设计巧妙化解公共空间隐私难题，21:9超宽屏模式支持三联屏多任务，既可实现《黑神话：悟空》等游戏的沉浸式宽视野，又能满足爱奇艺、B站、云游戏的多窗口并行，OLED级显示效果相当于随身215英寸巨幕。
2025年5月1日 · 【AR lite眼镜+主机套装】空间电脑随身携带,收货后使用有一段时间了，买之前做了大量竞品比较，最后选择了这款，主要考虑了近视其他产品需要配镜片和多屏办公使用需求。收到后调整了上面两个滑轮后果然可以看清楚，最近每天晚上拿来看韩剧，巨幕真的很爽。
2025年5月20日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,第一次使用这类产品，感到还是很惊喜的，整体体验比较符合预期，佩戴比想象中的要舒适一些，画面可以自己调节对焦功能不错，对于近视人士比较友好，而且戴着眼镜可以同时观察周围。Station 功能也很丰富，不过使用时要注意散热，目前使用一天感觉良好。
2025年5月23日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,第一次购买此类产品以为很多点不够完善迟迟没有入手。现在买到了才发现买晚了，首先是呈象的清晰度，完全巨幕影院，可以连接手机也可以直接操作，非常好上手。其次我是300度近视，近视调节功能做的也非常不错，再次戳我的点是，这款眼镜能看3d电影，效果很震撼。总之这是会推荐给我同事的好产品，持续关注。还有客服也非常贴心很耐心解答疑惑，谢谢。
2025年5月23日 · 【新品】【AR lite眼镜银色+主机套装】空间电脑随身携带,发货速度很快，质量很好，体验不错。用一阵看看
2025年5月26日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,送礼物，科技男很喜欢， 不过看剧也是挺方便，就是不能时间太长。
2025年5月28日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,很好，十月服务也很好。建议配专用回音耳罩，效果更佳。
2025年5月29日 · 【AR lite眼镜+主机套装】空间电脑随身携带,���用过一段时间再来评价的，用来看视频真的很棒，特别是3D电影。可惜续航时间不太行，好在可以边充边玩
2025年5月30日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,产品很惊艳，功能强大，值得购买，一到手迫不及待就戴上了，连续用了几天，3D效果很棒，在家就能欣赏大片，用来办公也不错，体验感很好，值得推荐
2025年5月30日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,以前用过类似的VR设备，这款AR效果比想象的好得多，试用了一下，满意。特别是对于我近视友好，直接在设备上调整就得到完美的观看效果。其它功能还要慢慢学习。
2025年6月10日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,300多英寸高清巨幕效果不错，很满意！！！！！
2025年6月10日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,“三联屏”很亮眼 不一样的感觉，“300多英寸高清巨幕”，“支持所有app下载和使用”，都很不错。
2025年6月11日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,确实非常轻便，跟pico4ultra摆在一起真的是个小迷弟，国产XR典型代表都体验过了，酷睿视g3max显示好，但是也笨重，pico笨重加不能调近视，显示也有纱窗效应，这款很好的解决了我既要轻便也要显示效果的需求，三联屏没截出来就不晒图了，连接华为手机启动电脑模式感觉很爽，300寸高清巨幕比酷睿视g3max差不了多少，软件很齐全，整体评价物超所值，客服小姐姐们很热情！点赞�
2025年6月11日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,这款产品的三联屏以及300多英寸高清巨幕，太震撼了。并支持所有app下载和使用，可以可以
2025年6月11日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,三联屏超帅，方便各种页面打开，单屏300多英寸高清巨幕看电影巨爽，需要用到的APP 都有，重点是游戏很多不用下载直接玩，哈哈哈哈哈。
2025年6月12日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,从开箱的精致设计就能感受到品牌的用心，机身轻巧便携，佩戴起来毫无负担，即使长时间使用也不会觉得压鼻梁。实际体验更是超预期，画面显示清晰细腻，色彩还原度极高，不管是观影、玩游戏还是办公，都能带来沉浸式的视觉盛宴。交互功能特别人性化，手势操控灵敏精准，操作简单易上手，科技感直接拉满！续航能力也很给力，完全能满足日常使用需求。而且兼容性强，和手机、电脑等设备连接快速稳定。不得不说，Rokid AR Lit是一款兼具颜值与实力的AR眼镜，绝对值得五星好评，强烈推荐！
2025年6月12日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,当初购买还是抱着试一试的心理的，收到货后，试用了一下确实惊艳，尤其是“三联屏”，“300多英寸高清巨幕”，优秀的出乎想象，并且还“支持所有app下载和使用”，给宝贝点赞，为国货骄傲，期待再上新高
2025年6月12日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,很清晰 还是 三联屏，300多英寸高清巨幕，支持所有app下载和使用 比想象的要好
2025年6月12日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,物流飞快~收到使用后简直惊呆了，三联屏不仅效率高，还是空间立体的感觉，要是设置巨屏模式，直接300多英寸高清巨幕拉满，是支持所有app下载和使用的，感受上和我以前的quest3很像，但是这个轻便太多了，是能够日常经常使用的！太喜欢了，还可以凹抽象造型！！
2025年6月12日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,到手用了几天，第一次用at产品，效果还是不错的，安卓的app也基本都能安装，眼镜也比较轻便，出差带着也方便，不过看一会儿后额头感觉有微微的发热
2025年6月12日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,收到这款眼镜后，试用了两天，体验感很好。用ar眼镜追剧，可以享受到“300多英寸高清巨幕”，用ar眼镜还可以自由地下载使用多种类型的app，并且还可以用它来进行办公。眼镜自带的近视度数调节功能，也特别人性化，总之是一款值得推荐的产品。商店里的客服云云，十月，妮妮都很热情，有问必答，特别有耐心。
2025年6月13日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,“三联屏”、“300多英寸高清巨幕”、“支持所有app下载和使用”不错，度数可以调节对近视的人比较友好
2025年6月13日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,买来给女儿学习看视频用的，下载了百词斩，多邻国，作业帮，腾讯视频，慕客大学等学习常用 Ap，作为划时代的年度新品，Rokid ARLite被定义为“空间电脑”，已经可以完全替代电脑和平板的功能，且使用更舒适，功能更强大，携带更轻便！ 1、所有安卓应用都可以使用和下载 2、最高300英寸大屏，75g重量，近视+瞳距调节，佩戴更舒适 3、三联屏模式支持多应用同时运行 4、高通4nm芯片，8+128g内存更丝滑
2025年6月13日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,发货很快，一收到就迫不及待开始体验了，真的超级棒！下载应用宝，就开始造了，看电影、电视剧简直哇塞，不用再去电影院了，还能三屏办公，rokid真的很棒！ 希望技术能发展的快一点，眼镜重量假如能做到50克以内，电池技术能内置在眼镜里，添加蓝牙连接，眼镜真的可以取代电脑、手机。
2025年6月13日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,"很棒哦，做工很好，也很好玩。比单纯段蓝牙耳机有意思多了，价格也比以前便宜很多，戴在脸上重量还行，可以接受。看起来的效果也很好，颜色不会很淡，非常推荐啦,很好玩"
2025年6月13日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,试戴了好几付AR眼镜，最终留下了rokid，一是调节近视度数这个功能正的很必须，家里人都是100-200的近视，平时不用戴眼镜，但是看AR眼镜就模糊了，能调节度数的话全家都能用。 另外rokid的三联屏，300多英寸高清巨幕，支持所有app下载和使用，这三个也是我爱不释手的功能。结合价格，效果，便利性几个方便，rokid完胜！ 另外，重点表扬一下客服十月，为我争取了很多优惠，谢谢�
2025年6月13日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,非常好用！看视频非常清晰，支持空间投屏、多联屏
2025年6月14日 · 【88vip再减409元】【AR lite眼镜黑色+主机套装】空间电脑随身携带,这个眼镜太牛了，以前买过华为那个眼镜，带着看视频晕，这个就没有晕的感觉，看视频简直太爽了，而且支持“三联屏”，可以同时干很多事，“300多英寸高清巨幕”大小都可调整，还“支持所有app下载和使用”，重点表扬一下十月小姐姐，服务态度真好，有问必答。
2025年6月14日 · 【全新配色】【AR lite眼镜黑色+主机套装】空间电脑随身携带,产品很惊艳，值得购买，3D的效果很棒，然后在家 就能享受影院级的大屏观赏，值得推荐。
2025年6月14日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,300寸巨幕太爽了，而且可以随意下载任何app，客服有个叫十月的好棒，非常的耐心！
2025年6月14日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,眼镜相当不错，300多英寸的高清巨屏给我留下了深刻的印象，屏幕分辨率极高，无论是观看电影还是玩游戏，都能带来极致的视觉享受。同时，屏幕的亮度和色彩表现也非常出色，即使在逛街买菜的环境下也能保持清晰的显示效果。系统响应速度也非常快，几乎没有延迟现象。 最赞的是三联屏设计、显示效果还是使用体验上都表现出色，我是搭配投屏使用，觉得相当可以的
2025年6月14日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,第一次试用，感觉很震撼，300英寸的高清巨幕，体验感满满，看电影、玩游戏有一种身临其境的感觉。多屏显示能为你同时办公和娱乐互不影响，我平时出差比较多，对办公这一块可能需求更多一些，无线鼠标和无线键盘链接之后办公也很顺畅。同时安卓手机能够直插投屏，瞬间把小屏幕变成大屏幕。十月小姐姐的服务态度很好哦！�
2025年6月14日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,观感很震撼，可以同时几个屏幕操作。
2025年6月14日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,使用了快一周，比老一代vr眼镜清晰多了，很多app都有，适配的非常完美，尤其是三连屏，绝了，随时随地都可以使用，音质也很棒，真的是打开新世界大门！~客服解决问题很快很高效，及时回答相关问题，真的不错。然后我还去体验了apple visionpro，反应苹果的太重了，虽然产品很好，但是架不住stations轻薄，强烈推荐！~
2025年6月15日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,“三联屏”，很实用，“300多英寸高清巨幕”，很赞，关键内置软件库“支持所有app下载和使用”，
2025年6月15日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,宛如进入了另一个时代，看片办公打游戏，颠覆性的体验，未来结合ar应用可玩性超乎想象。
2025年6月15日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,眼镜很不错，上手很简单，三个巨屏看着很爽，还在适应中，安卓软件都可以安装，不错，希望越来越好
2025年6月15日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,购物很愉快，产品很棒，卖家服务超贴心，发货速度也很快。整体来说非常满意，给满分好评！
2025年6月15日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,非常好，开箱一看就是好东西，很轻便，初步开机看了一下桌面和设置等，感觉操作应该比较简便。接下来就要学习使用了。有近视老花散光，近视能调，得配个散光吧。发货快，快递也快。
2025年6月16日 · 【88vip再减400元】【AR lite眼镜银色+主机套装】空间电脑随身携带,第一次接触ar产品，感觉用来入门还是不错的，比较千元出头的产品多了不少实用的功能，推荐
2025年6月16日 · 【88vip再减409元】【AR lite眼镜黑色+主机套装】空间电脑随身携带,想买很久啦，趁着618做活动赶紧就入手了，果然不失所望。颜值充满科技感，自重也合适，不会压鼻梁。 过几天再找朋友借了switch连上玩玩。
2025年6月16日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,到手10几天了，这些天一直在各种场景试用，还没有完全试完，就目前已经使用的场景谈一下个人感受。 这款眼镜套装其实种草很久了，之前买过多款VR眼镜，因此对这款AR眼镜有一定的期许，但也有一定的担忧，其实最关注的还是画质。之前的多款VR画质虽然可以接受，但多多少少会有点纱窗效应，总觉得不够细腻，有颗粒感，还好，这款到时后画质不错，没有明显的纱窗效应。 这款眼镜比起之前的VR眼镜轻很多，因此佩戴时间长了头部不会有明显的不适。 单眼镜以有线直连方式连接我的mate60P完全没有问题，但因为是纯血鸿蒙，好像没有电脑模式，所以只能和手机同步显示。连接我的mate30手机除了同步显示，可以在手机上切换成电脑模式，如果连上蓝牙键盘和手机，应该可以轻度办公吧！ 眼镜配合station2主机更是拓展了使用场景，特别是三联屏，很方便，可以同时使用三个应用互不干扰。主机系统支持的应用也挺丰富，主流应用基本都有，特别是用来观影，效果不错，3d观影效果尤佳。 主机配合手机APP，能够传输文件和安装APP，另外还有社区支持和各项活动可以参与。 眼镜有600度内的近视左右独立调节，这个对像我这样左右眼有点视力偏差的相当有用。 眼镜直连电脑主机还没成功，不知道是我买的线材的问题还是电脑主机的问题，系统有识别到以眼镜型号为名称的显示设备，但是眼镜里没图像，目前还在研究解决中 其他场景使用还在等线材，后续再追评吧  当然，使用过程中发现还是有需要改进的地方： 比如扬声器的音质一般，改接蓝牙耳机后有改善 比如眼镜使用到一段时间后脑门眉毛那边能明显感觉到有温热的效应 比如主机虽然散热做得很好，但同时也因为散热风扇的存在，在安静环境下，主机的散热风扇反而成了主要的噪声来源。  说了这么多，总体来讲，瑕不掩瑜，就我个人来说，还是值得一玩的，现在遇到活动价格还可以的，先玩先享受吧！
2025年6月16日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,出差好伴侣，支持很多app，三联屏也很实用，满意
2025年6月16日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,三连屏特别的新颖，产品也挺哇塞�。还有巨幕模式超级棒��“300寸”国产品牌越来越好，必须支持一下子。
2025年6月16日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,迫不及待就用起来啦。安装了豆包和百度网盘 巨大的屏幕真爽啊。 和Al聊也轻松。 更多功能继续摸索。
2025年6月17日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,三联屏非常炫酷，办公看电影体验非常好，使用非常简单，刷新了我对AR设备的印象
2025年6月17日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,东西很棒 让我体验了一把科技感 关键对我这500°近视太友好了 画面清晰 就像在操作电影屏幕 实在是太棒了�操作很简单 很灵活 躺着看电视�感觉很好
2025年6月17日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,昨天就收到了，体验了一天，感觉三联屏看着非常爽，巨屏模式会有拉远然后展开的高清巨幕，目前体验了看视频，效果很好，在应用商店里还能下载各种APP，有些还没体验完。另外有个带讲解的体验视频系列，全景体验很棒，建议官方可以多出一些。上手前后咨询了一些使用操作和眼镜佩戴的问题，客服十月都一一解答，购买体验不错
2025年6月17日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,看剧大屏很清晰，新机器反应速度也很棒    就有点烫  客服佩佩很有耐心 解说很周到 感谢
2025年6月17日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,终于找到一款能兼顾舒适度和科技感的 AR 眼镜！三联屏对我这种一心多用的人更是超方便，同事用了都疯狂要链接！
2025年6月17日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,这还不错，与描述相符，用起来比较容易上手。
2025年6月17日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,不得不说，很有体验感，操作也简单容易上手。除了看电影追剧，还有很多功能。值得购买
2025年6月17日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,产品真的超级棒，下次还会买的，愿越做越好，非常好的购物体验
2025年6月17日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,收到后立即开箱使用，能满足娱乐和办公需求，特别是三联屏，300多英寸高清巨幕，视野非常清晰，而且能支持所有app下载和使用
2025年6月17日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,用了几天，很好。最担心会头晕，结果到手就看了一部电影，很舒适，无眩晕，重量也可以接受，当然这个也可能我本来就带眼镜习惯了。然后是操作很便捷，基本就是上手就会，我儿子八岁用的很欢快。总体很满意，非要找缺点那就是，目前没找到触摸屏锁定功能，就是看电影，容易误触，影响沉浸式体验。至于很多人提到的发热，我觉得可以接受，因为我不会在很热的地方去用这个玩意。
2025年6月18日 · 【88vip再减400元】【AR lite眼镜银色+主机套装】空间电脑随身携带,从一代升级到了Lite套装，升级很大，系统也比上一代好了很多，喜欢触摸和射线这种交互模式，很符合使用习惯，station支持边冲边用，很棒！
2025年6月18日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,�【科技与时尚的完美碰撞】�  姐妹们，今天我要给大家安利一款超级好用的产品——rokid 眼镜！� 这不仅仅是一副眼镜，更是我们生活中的高科技助手哦！ 感谢客服十月的服务，十分满意
2025年6月18日 · 黑色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,值得入手，评价不写太多了，太多就是托，618这个价位性价比高，联系客服有惊喜
2025年6月19日 · 【88vip再减400元】【AR lite眼镜银色+主机套装】空间电脑随身携带,沉浸式追剧神器，太牛了！！！不上遮光罩完全不影响日常活动！隐私保护很到位！旁边的人都不知道你在干嘛！运动模式超好，还可以解放双手！边追剧边锻炼，没那么难熬，时间一会儿就过去了！小小的一只，不占位置，携带超方便！什么电影院、电视都用不上了！
2025年6月19日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,发货很快，包装也很好，非常喜欢，客服十月很有耐心，服务态度非常好，这次网购非常高兴
2025年6月19日 · 【AR lite眼镜黑色+主机套装】空间电脑随身携带,这款眼镜真的不错，看视频太好了，大屏非常清晰，反应敏捷，非常不错的一款产品，客服十月服务很好，�
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,三联屏很棒，300多英寸高清巨幕，支持所有app下载和使用，十月很棒
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,商品很好，是一种很新奇的体验 眼睛很轻，本人近视，微微散光，带度数调节很方便，可以按照个人情况进行调解 三联屏感觉很好，触摸主机操作便捷 高清巨幕感觉在电影院一样，声音处理也很好 app下载无限制，目前链接了安卓手机投屏感觉很好，晚点尝试轻办公场景
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,完全超出预期了 ，巨屏很有沉浸感，一个送朋友 一个自用。太爱了�
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,对比了几家ar眼镜，综合从品牌，舒适度，性能，功能，生态考虑选择了rokid，尤其是近视解决方案还有三连屏功能好评！更多好玩还在发掘中！
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,看了很久买了后 发现“三联屏”，“300多英寸高清巨幕”，“还app下载”，这三点都挺好 总体来说不错，值得拥有
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,眼镜很喜欢，三联屏300多英寸高清巨幕，特别对近视友好，还支持所有app下载和使用
2025年6月19日 · 银色【88VIP再减409元】三联屏空间巨幕 海量3D高清影视 支持所有安卓应用,第一次体验很震撼，确实比平板电脑追剧更爽
